NUTS2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
FR10,434976.4,450378.04,467079.05,476542.08,493049.86,513639.47,533267.14,567784.25,588976.19,571631.42,605435.47,615497.37,630604.71,644681.14,653969.01,670619.24,685852.59,705342.6,729515.61,759581.81,701018.05,757630.11
FRB0,53060.72,55158.34,56518.6,57893.91,60381.87,61767.5,64254,67069.74,66595.41,64980.61,66240.4,68055.8,68599.92,69089.01,69471.72,70729.64,71052.28,72752.28,74141.8,75797.28,72993.95,77772.79
FRC1,34284.33,34971.43,35798.18,36405.49,38246.71,38869.02,40507.78,42962.04,44009.08,42208.33,41988.31,43495.76,43560.02,43862.21,44639.77,44869.3,44376.29,46214.87,47345.91,47846.13,46379.55,49288.29
FRC2,23657.77,24760.96,25325.72,25757.72,26621.15,26983.7,27739.92,28924.07,29456.5,28363.62,28540.6,29349.91,28306.94,28310.84,28840.23,29487.62,30083.19,30640.03,30830.44,31823.95,30809.35,32113.42
FRD1,28570.59,29195.44,30171.24,31261.33,32832.68,33541.45,34975.04,36300.1,37193.44,36060.93,36534.93,37961.79,37725.59,38153.05,38156.14,38809.49,39137.48,39091.37,39960.56,40951.65,39617.02,42577.57
FRD2,39868.91,40866.72,41813.84,43010.99,44611.26,45679.09,47285.34,50071.88,50728.95,48681.17,50411.14,51734.46,52467.56,52900.27,53144.56,54267.72,53560.27,54333.23,54773.34,55677.32,53090.38,58279.18
FRE1,75893.91,78217.8,81086.59,83615.63,86774.6,89542.49,94121.12,98678.9,102658.22,99423.18,100519.39,103975.98,103922.2,105450.78,106905.21,109025.65,110415.75,113639.3,116312.06,118672.52,115050.58,122287.34
FRE2,36912.49,38047.77,38942.79,40002.15,40928.69,41949.21,43050.41,45370.01,46011.09,44275.75,45200.5,46427.16,46981.13,47091.91,47020.79,48424.57,47761.37,49597.29,49922.01,51148.24,49050.4,52047.29
FRF1,42294.03,43492.74,44459.52,45374.77,46882.49,47579.15,49560.81,52469.64,54273.93,52762.44,52694.24,54618.59,54603.03,55524.99,56389.09,57205.16,58450.27,60087.65,62037.3,63449.24,60533.57,64367.22
FRF2,30274.15,30374.37,30920.15,31131.94,33422.07,33755.15,34776.72,36712.57,37180.17,35047.43,35482.67,37621.36,36748.88,37039.05,36967.71,37221.99,36732.08,38115.95,39149.53,39531.21,37611.38,40268.98
FRF3,45727.14,47337.61,48497.29,49669.26,51970.32,52971.14,54894.33,56883.7,56984.43,55091.04,54959.54,56173.62,55833.08,56306.24,57134.2,57748.39,57633.29,59074.41,59880.34,60895.17,58545.38,62361.64
FRG0,70194.55,73892.24,76464.06,79048.42,82319.39,85421.36,89026.68,93797.36,97746.22,94704.31,95647.32,100889.06,102210.53,103930.14,105995.36,108948.55,110978.87,114320.21,117496.92,121828.95,119714.41,126472.97
FRH0,60878.79,63380.65,65294.11,67612.93,72403.29,75524.49,79072.45,82107.29,82365.12,79796.05,80683.16,84239.65,85515.59,86911.43,88974.08,91303.91,93368.9,96797.87,98576.22,101999,99689.49,106194.89
FRI1,63227.73,67331.43,70064.41,71750.02,74535.26,77697.69,82261.64,85969.93,86512.06,85743.11,88217.39,92075.04,93303.94,93525.47,95500.48,97890.6,100243.08,102694.29,106161.55,109435.62,105379.46,114112.12
FRI2,13773.59,14279.22,14972.88,15306.3,15583.98,16277.34,16946.47,17615.69,17591.57,17204.56,16834.24,17268.25,17349.57,17739.21,18009.59,18311.6,18143.35,18609.73,18807.13,19652.81,19130.62,20261.42
