NUTS2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
ITF5,601399,599404,597103,595269,594505,593185,590111,586531,586093,584910,582618,580790,579360,577550,575814,573236,569887,566405,562968,558587,553254,545130
ITF6,2028592,2018722,2008185,1999767,2000597,1992027,1981950,1971937,1979067,1976547,1973624,1972049,1968536,1962430,1958226,1951733,1943085,1935097,1924257,1912021,1894110,1860601
ITG1,4994427,4978068,4967306,4965390,4977097,4985221,4991319,4995840,5015966,5031436,5044045,5059482,5061946,5053540,5041754,5028266,5004400,4977900,4942188,4908548,4875290,4833705
ITG2,1638573,1634795,1630004,1632083,1634673,1637508,1640194,1643052,1649058,1653129,1653711,1655833,1655079,1654583,1652528,1648642,1642492,1636839,1631040,1622257,1611621,1590044
ITH1,458553,461101,462884,466605,470363,475176,480403,485196,491338,496079,500450,504406,507989,511619,515389,517994,520252,523454,526772,530313,532644,534912
ITH2,470505,474310,476750,481750,488099,494740,499712,504098,510511,516859,521531,525833,529246,533435,536813,538188,539513,540280,541966,543721,545425,542166
ITH3,4485059,4508580,4527599,4562491,4622493,4674934,4709768,4739367,4796062,4844339,4863372,4879606,4887328,4901415,4905712,4902694,4890648,4883373,4880936,4884590,4879133,4869830
ITH4,1178264,1181238,1184713,1190100,1196333,1201350,1203848,1208130,1217059,1224653,1225910,1225361,1223642,1224987,1224984,1221664,1216208,1212809,1211155,1210414,1206216,1201510
ITH5,4014822,3983566,4003078,4034435,4080856,4129525,4162981,4194959,4246741,4305949,4340491,4371595,4391314,4415458,4432241,4434377,4435480,4439768,4445920,4459453,4464119,4438937
ITI1,3491580,3494857,3499109,3513273,3543673,3574966,3593492,3610980,3650182,3683362,3706592,3726263,3733535,3743537,3744293,3739044,3726422,3721391,3712048,3701343,3692555,3692865
ITI2,820844,824187,826176,830936,841789,849774,855555,858807,870298,879640,884937,889450,890407,892742,892099,888288,884092,880992,876477,873744,870165,865452
ITI3,1480590,1446785,1453413,1464080,1481118,1493103,1501891,1507981,1525274,1541254,1546800,1549616,1550010,1551668,1549478,1545869,1538442,1532460,1526331,1520321,1512672,1498236
ITI4,5119323,5116344,5117783,5139164,5186338,5240603,5277353,5322929,5394010,5461999,5516026,5563046,5605706,5678764,5723955,5744899,5761508,5774092,5774606,5773076,5755700,5730399
CY00,690497,697549,705539,713720,722893,733067,744013,757916,776333,796930,819140,839751,862011,865878,858000,847008,848319,854802,864236,875899,888005,896007
